IDENTIF,RIVER,ERECTED,PURPOSE,LENGTH,LANES,T-OR-D,MATERIAL,SPAN
E89,M,1904,RR,1200.0,2.0,THROUGH,STEEL,MEDIUM
E53,A,1904,RR,965.0,4.0,THROUGH,STEEL,MEDIUM
E52,M,1904,RR,1504.0,,THROUGH,STEEL,LONG
E54,Y,1908,HIGHWAY,1240.0,,,STEEL,MEDIUM
E56,M,1909,HIGHWAY,,,THROUGH,STEEL,MEDIUM
E55,A,1909,HIGHWAY,1730.0,2.0,THROUGH,STEEL,LONG
E57,O,1910,RR,1620.0,2.0,THROUGH,STEEL,LONG
E59,O,1911,HIGHWAY,1652.0,2.0,THROUGH,STEEL,LONG
E107,A,1914,RR,,,,STEEL,
E92,M,1914,RR,2210.0,,THROUGH,STEEL,MEDIUM
E61,O,1915,RR,2822.0,2.0,THROUGH,STEEL,LONG
E60,A,1915,HIGHWAY,1000.0,4.0,THROUGH,STEEL,LONG
E62,A,1918,RR,2300.0,2.0,DECK,STEEL,LONG
E63,A,1920,RR,2122.0,2.0,THROUGH,STEEL,MEDIUM
E65,A,1921,WALK,,,THROUGH,STEEL,
E64,A,1923,HIGHWAY,885.0,4.0,THROUGH,STEEL,MEDIUM
E66,A,1924,HIGHWAY,2365.0,4.0,THROUGH,STEEL,MEDIUM
E70,A,1926,HIGHWAY,860.0,4.0,THROUGH,STEEL,MEDIUM
E69,A,1926,HIGHWAY,884.0,4.0,THROUGH,STEEL,MEDIUM
E101,O,1927,HIGHWAY,1770.0,2.0,THROUGH,STEEL,LONG
E73,A,1927,HIGHWAY,1508.0,,THROUGH,STEEL,MEDIUM
E72,M,1927,HIGHWAY,2663.0,4.0,DECK,STEEL,MEDIUM
E67,M,1927,HIGHWAY,1330.0,4.0,THROUGH,STEEL,LONG
E75,A,1928,HIGHWAY,2678.0,4.0,DECK,STEEL,MEDIUM
E74,M,1928,HIGHWAY,2220.0,2.0,DECK,STEEL,MEDIUM
E71,A,1928,HIGHWAY,860.0,4.0,THROUGH,STEEL,MEDIUM
E68,M,1928,HIGHWAY,2250.0,2.0,THROUGH,STEEL,MEDIUM
E78,O,1931,HIGHWAY,1365.0,4.0,THROUGH,STEEL,LONG
E77,O,1931,HIGHWAY,1450.0,4.0,THROUGH,STEEL,LONG
E76,M,1931,HIGHWAY,1500.0,4.0,THROUGH,STEEL,LONG
E93,M,1937,HIGHWAY,1690.0,4.0,DECK,STEEL,LONG
E79,A,1939,HIGHWAY,1800.0,4.0,DECK,STEEL,MEDIUM
E108,A,1945,HIGHWAY,1060.0,4.0,DECK,STEEL,MEDIUM
E107N,A,1945,RR,840.0,2.0,THROUGH,STEEL,MEDIUM
E105,A,1945,HIGHWAY,1710.0,2.0,DECK,STEEL,MEDIUM
E103,O,1945,HIGHWAY,2160.0,2.0,THROUGH,STEEL,LONG
E97,Y,1945,HIGHWAY,,,THROUGH,STEEL,MEDIUM
E96,Y,1945,RR,,,THROUGH,STEEL,MEDIUM
E99,M,1950,HIGHWAY,1320.0,2.0,THROUGH,STEEL,MEDIUM
E98,M,1951,HIGHWAY,900.0,4.0,THROUGH,STEEL,MEDIUM
E81,M,1951,HIGHWAY,2423.0,4.0,DECK,STEEL,LONG
E80,M,1951,HIGHWAY,1031.0,4.0,THROUGH,STEEL,LONG
E88,A,1955,HIGHWAY,2300.0,4.0,DECK,STEEL,LONG
E82,O,1955,HIGHWAY,804.0,,THROUGH,STEEL,
E102,O,1959,HIGHWAY,1700.0,2.0,THROUGH,STEEL,LONG
E83,M,1959,HIGHWAY,1000.0,6.0,THROUGH,STEEL,LONG
E86,A,1961,HIGHWAY,980.0,4.0,DECK,STEEL,MEDIUM
E85,M,1962,HIGHWAY,2213.0,4.0,DECK,STEEL,LONG
E84,A,1969,HIGHWAY,870.0,6.0,THROUGH,STEEL,MEDIUM
E91,O,1975,HIGHWAY,3756.0,6.0,THROUGH,STEEL,LONG
E90,M,1978,HIGHWAY,950.0,6.0,THROUGH,STEEL,LONG
E100,O,1982,HIGHWAY,,,,,
E109,A,1986,HIGHWAY,,,,,
